Card Name	Cost	Type	Affinity	Rarity	Energy Damage	Mana Regen	Max Health	Physical Damage	Health Regen	Max Mana	Energy Pen	Physical Armor	Cooldown Reduction	Physical Pen	Energy Armor	Crit Chance	Lifesteal	Crit Bonus	Attack Speed	Harvester Placement Time	Max Movement Speed	Damage Bonus	MaxedEnergy Damage	MaxedMana Regen	MaxedMax Health	MaxedPhysical Damage	MaxedHealth Regen	MaxedMax Mana	MaxedEnergy Pen	MaxedPhysical Armor	MaxedCooldown Reduction	MaxedPhysical Pen	MaxedEnergy Armor	MaxedCrit Chance	MaxedLifesteal	MaxedCrit Bonus	MaxedAttack Speed	MaxedHarvester Placement Time	MaxedMax Movement Speed	MaxedDamage Bonus	Special0	Special1	Special2	MaxedSpecial0	MaxedSpecial1	MaxedSpecial2	0
Elysian Diamond	3	Passive	Affinity.Order	Common	7.575758	0.3	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quartzblade	3	Passive	Affinity.Order	Common	0	0.3	100	7.575758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celestine Diamond	3	Passive	Affinity.Order	Common	7.575758	0	0	0	1.4	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silverspear	3	Passive	Affinity.Order	Common	0	0	0	7.575758	1.4	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lantern of Spring	3	Passive	Affinity.Order	Common	0	0	0	0	0	0	16	22	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genesis Torch	3	Passive	Affinity.Order	Common	0	0	0	0	0	0	0	0	0.025	16	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Golden Veil	3	Passive	Affinity.Order	Common	0	0	0	0	0	0	0	0	0	0	22	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brightsteel Plate	3	Passive	Affinity.Order	Common	0	0	0	0	0	0	0	22	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nirvana Stone	3	Passive	Affinity.Order	Common	0	0.3	0	0	1.4	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0
Sword of the Altar	3	Passive	Affinity.Order	Common	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
